"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.71402388442511e-269,1.2829494270029,1,1,3.63355923259278e-265,"0","MALAT1"
6.77485202290762e-262,1.35008202164046,0.961,0.909,1.43620088033619e-257,"0","GBP4"
1.07954399601129e-234,2.01035278134885,0.897,0.51,2.28852531714432e-230,"0","CXCL11"
1.01708405307637e-216,1.65472032729313,0.884,0.594,2.15611648411661e-212,"0","ETS2"
3.65448033437343e-212,1.34282552807392,0.936,0.639,7.74713286083823e-208,"0","IFITM3"
3.98918219402354e-196,2.15289271852014,0.815,0.471,8.45666733311051e-192,"0","SOX4"
5.74955791982644e-183,0.675128148137365,0.988,0.99,1.21884878342401e-178,"0","EEF1A1"
2.22660771518128e-182,2.37000004225583,0.728,0.381,4.72018569541279e-178,"0","AC244502.1"
1.47187856723563e-174,0.695827768265222,0.975,0.977,3.1202353746828e-170,"0","RPS9"
3.06718087685048e-160,1.31944941486456,0.884,0.684,6.50211674083534e-156,"0","ETV6"
3.43786181054676e-153,1.32426618567554,0.965,0.914,7.28792325217808e-149,"0","SAT1"
1.70910719385179e-151,1.16758812840408,0.936,0.844,3.62313634024641e-147,"0","GBP5"
5.29326996931536e-150,2.04869790323799,0.645,0.327,1.12212030079516e-145,"0","TFPI"
8.63611682054013e-147,1.87448718402255,0.828,0.511,1.8307704047863e-142,"0","CXCL10"
1.0625195240821e-144,1.02676100637644,0.952,0.901,2.25243513910165e-140,"0","PARP14"
7.85469632508677e-142,1.62565576213509,0.757,0.467,1.66511707395514e-137,"0","PTGIR"
4.14127439824676e-141,2.03795757856944,0.656,0.363,8.77908759684331e-137,"0","IGSF10"
3.36679079290081e-139,0.962053322054147,0.971,0.86,7.13725980187043e-135,"0","HLA-DRA"
6.25635958969587e-130,0.610882063868412,0.975,0.976,1.32628566941963e-125,"0","RPS3A"
7.33667655824029e-123,1.21389721686888,0.808,0.523,1.55530206358136e-118,"0","TMEM120A"
2.00326995242941e-121,1.35934632808945,0.874,0.768,4.24673197215511e-117,"0","RGS1"
1.04700421951159e-119,1.70522042805994,0.683,0.402,2.21954424494262e-115,"0","MEF2C"
2.84429064707357e-119,1.11895051733498,0.986,0.979,6.02961174273125e-115,"0","FTH1"
1.61704793356087e-118,0.442392867168749,0.989,0.991,3.42797991435568e-114,"0","TPT1"
2.09774402431761e-118,0.952121861852306,0.939,0.888,4.44700755715091e-114,"0","GBP1"
6.92259148081137e-116,2.15560277303273,0.619,0.333,1.4675201680172e-111,"0","IFIT2"
3.76283837200059e-114,1.04434762974779,0.887,0.771,7.97684106480404e-110,"0","IFI44L"
9.08688982474702e-114,1.6050505598151,0.701,0.442,1.92632977394812e-109,"0","RNF130"
1.45805057279591e-112,0.73306407799301,0.975,0.967,3.09092140927004e-108,"0","CD74"
1.44603310400844e-109,2.10407121524921,0.587,0.329,3.06544557718749e-105,"0","AF117829.1"
2.60507161695249e-109,0.701252367215148,0.968,0.963,5.52249132077759e-105,"0","STAT1"
3.23076142125436e-109,2.11373303827528,0.592,0.337,6.84889113691712e-105,"0","NEXN"
7.78060967512581e-109,1.61499889634343,0.827,0.674,1.64941144502992e-104,"0","IFIT3"
1.07167068656809e-108,1.71708870352995,0.645,0.39,2.2718346884557e-104,"0","MED12L"
7.89432436099294e-108,1.08269418797678,0.863,0.711,1.67351782128689e-103,"0","IRF2BP2"
1.69135691427132e-107,1.10374682565036,0.897,0.845,3.58550752256377e-103,"0","GAS5"
5.06594686973595e-107,0.883199228733858,0.938,0.925,1.07393007691532e-102,"0","IRF1"
1.7117903537297e-106,2.58215814396976,0.446,0.191,3.6288243708716e-102,"0","LINC02573"
2.81083484750561e-106,0.913034289983675,0.908,0.775,5.95868879322713e-102,"0","GYPC"
6.72999282048187e-105,0.882585760651517,0.934,0.886,1.42669117801395e-100,"0","SNHG29"
1.66486727811975e-102,0.856839689006374,0.922,0.749,3.52935214288605e-98,"0","HLA-DRB5"
1.71613448570093e-101,1.00937731315108,0.874,0.825,3.63803349623739e-97,"0","FAM107B"
9.26636759168216e-101,1.31680946806828,0.757,0.542,1.9643772657607e-96,"0","NRIP1"
1.70406194477679e-99,0.648145937004848,0.913,0.674,3.61244091673232e-95,"0","CXCL8"
5.35288928294976e-99,1.54162994550409,0.652,0.415,1.13475899909252e-94,"0","HHEX"
1.64663346497058e-97,1.08204475042611,0.898,0.775,3.49069828239114e-93,"0","ANKRD28"
3.33531043491195e-96,0.553910485743437,0.982,0.975,7.07052459096984e-92,"0","RPL3"
4.01511366239444e-96,0.932877610832703,0.918,0.892,8.51163945290998e-92,"0","VMP1"
8.79912124327221e-95,1.74266680567362,0.618,0.393,1.86532571236128e-90,"0","RIPK2"
9.94484929826399e-95,0.837251458631085,0.927,0.815,2.10820860273898e-90,"0","MYCBP2"
1.17262041444114e-93,0.859797954346621,0.88,0.852,2.48583801657378e-89,"0","NOP53"
3.05981992503008e-93,1.50531622946805,0.682,0.475,6.48651225907127e-89,"0","MIR181A1HG"
4.0424003697791e-93,0.440676178737383,0.983,0.981,8.56948454389472e-89,"0","RPS12"
6.57806674066036e-91,0.48122048520525,0.955,0.968,1.39448436835259e-86,"0","H3F3A"
1.17495332090103e-85,0.967403726455822,0.823,0.716,2.49078354497809e-81,"0","HAPLN3"
2.61261598771682e-85,0.843343870852628,0.877,0.69,5.53848463236088e-81,"0","PTMS"
2.89705517254826e-85,0.9275999378013,0.841,0.685,6.14146726028506e-81,"0","HLA-DMA"
4.00345152004198e-84,0.871244456154293,0.878,0.773,8.48691687733699e-80,"0","HLA-DQB1"
6.74125942600315e-84,1.08261272394996,0.77,0.618,1.42907958571841e-79,"0","FOXP1"
8.77251322309616e-84,1.56301908979388,0.608,0.383,1.85968507816416e-79,"0","EGFL7"
5.07115873887135e-83,1.19243521652528,0.747,0.629,1.07503494105334e-78,"0","LYSMD2"
5.13317016977664e-83,0.451918410193418,0.967,0.974,1.08818074429095e-78,"0","RPL34"
2.22138388905799e-81,0.829855998382179,0.876,0.683,4.70911170641403e-77,"0","MIR155HG"
9.42165912016963e-81,0.830266781900428,0.854,0.587,1.99729751688476e-76,"0","SPINT2"
6.5322077817997e-80,0.704607719425277,0.915,0.894,1.38476272766372e-75,"0","CD47"
7.24327273883838e-80,1.53403501341856,0.614,0.431,1.53550138790635e-75,"0","SSBP2"
1.69160397298614e-78,0.429981566775821,0.977,0.978,3.58603126233333e-74,"0","RPS3"
9.87067212463886e-78,0.544852702871151,0.933,0.956,2.09248378370219e-73,"0","SRSF5"
3.64238412695734e-77,1.26133605114704,0.727,0.638,7.72149011073687e-73,"0","NBN"
1.95944222203519e-74,0.977858440477969,0.782,0.532,4.1538215664924e-70,"0","INHBA"
1.57001715844815e-73,0.95862108420839,0.802,0.689,3.32827937419423e-69,"0","MAX"
3.80030572576309e-73,0.746978299394196,0.899,0.808,8.05626810804518e-69,"0","HLA-DPB1"
1.24604335749764e-70,0.973089050918106,0.816,0.748,2.64148731355924e-66,"0","IFIH1"
1.27291700798267e-70,0.341058385480633,0.985,0.979,2.69845676522246e-66,"0","RPS27A"
3.17279820192409e-69,0.755687642484181,0.821,0.571,6.72601490825889e-65,"0","CD40"
4.55358251234385e-68,0.832778654035458,0.826,0.721,9.65313956791774e-64,"0","SNHG5"
4.57871025887029e-68,0.432570280756893,0.971,0.972,9.70640787777913e-64,"0","RPS4X"
7.94536821171243e-68,1.5604023731871,0.58,0.39,1.68433860720092e-63,"0","SLC44A1"
1.90494347133586e-67,1.55721431577681,0.586,0.417,4.03828966488489e-63,"0","RASGRP3"
2.82832326263375e-67,0.615419617472842,0.945,0.854,5.99576248445729e-63,"0","TUBA1A"
2.68453377873179e-66,1.21817342701541,0.676,0.549,5.69094315753351e-62,"0","ARID5A"
2.95589712180306e-66,1.17171206502282,0.665,0.459,6.2662063085103e-62,"0","MGLL"
8.04441783310268e-65,1.00313368873453,0.709,0.524,1.70533613643944e-60,"0","PSTPIP2"
1.9426203071025e-64,1.28004727906904,0.629,0.45,4.1181607890266e-60,"0","CIITA"
3.37629050444224e-63,1.56254513161689,0.57,0.406,7.15739824036709e-59,"0","CALHM6"
4.56944577094504e-63,2.28352559271022,0.348,0.164,9.68676808982638e-59,"0","ERG"
5.63951444393033e-63,0.854933110243631,0.873,0.772,1.19552066696879e-58,"0","FOS"
1.75144257584829e-61,0.369629584260118,0.959,0.968,3.71288311654079e-57,"0","RPL9"
2.80898816770639e-61,1.20826840962208,0.682,0.547,5.95477401672077e-57,"0","ZEB2"
7.82236935887351e-61,1.17960086791616,0.683,0.573,1.6582640803876e-56,"0","SMIM3"
1.50874142023236e-60,0.650404919606863,0.915,0.9,3.19838093675058e-56,"0","PNISR"
2.3071855931963e-60,0.624821933437223,0.93,0.9,4.89100273901685e-56,"0","HLA-DPA1"
2.36151454656001e-60,1.61721948360239,0.512,0.332,5.00617468725256e-56,"0","MECOM"
5.2982884175624e-60,0.547133908842045,0.944,0.878,1.12318416163905e-55,"0","HLA-DRB1"
